ID,EQUIPO_ID,PUNTOS,PUNTOS_MEDIA,NOMBRE,APODO,SLUG,POSICION_ID,POSICION,VALOR_MERCADO,ESTADO_JUGADOR,SEMANA_1,SEMANA_2,SEMANA_3,SEMANA_4,SEMANA_5,SEMANA_6,SEMANA_7,SEMANA_8,SEMANA_9,SEMANA_10,SEMANA_11,SEMANA_12,SEMANA_13,SEMANA_14,SEMANA_15,SEMANA_16,SEMANA_17,SEMANA_18,SEMANA_19,SEMANA_20,SEMANA_21,SEMANA_22,SEMANA_23,SEMANA_24,SEMANA_25,SEMANA_26,SEMANA_27,SEMANA_28,SEMANA_29,SEMANA_30,SEMANA_31,SEMANA_32,SEMANA_33,SEMANA_34,SEMANA_35,SEMANA_36,SEMANA_37,SEMANA_38,SEMANA_1_AGGR,SEMANA_2_AGGR,SEMANA_3_AGGR,SEMANA_4_AGGR,SEMANA_5_AGGR,SEMANA_6_AGGR,SEMANA_7_AGGR,SEMANA_8_AGGR,SEMANA_9_AGGR,SEMANA_10_AGGR,SEMANA_11_AGGR,SEMANA_12_AGGR,SEMANA_13_AGGR,SEMANA_14_AGGR,SEMANA_15_AGGR,SEMANA_16_AGGR,SEMANA_17_AGGR,SEMANA_18_AGGR,SEMANA_19_AGGR,SEMANA_20_AGGR,SEMANA_21_AGGR,SEMANA_22_AGGR,SEMANA_23_AGGR,SEMANA_24_AGGR,SEMANA_25_AGGR,SEMANA_26_AGGR,SEMANA_27_AGGR,SEMANA_28_AGGR,SEMANA_29_AGGR,SEMANA_30_AGGR,SEMANA_31_AGGR,SEMANA_32_AGGR,SEMANA_33_AGGR,SEMANA_34_AGGR,SEMANA_35_AGGR,SEMANA_36_AGGR,SEMANA_37_AGGR,SEMANA_38_AGGR
72,ATH,49,2.227272727272727,"Óscar de Marcos Arana","De Marcos",de-marcos,2,Defensa,621140,ok,0,0,0,0,0,0,1,0,4,0,2,2,0,0,0,6,0,9,7,6,5,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,3,5,5,5,5,15,15,24,36,42,29,29,42,42,49,49,49,49,49,49,49,49,49,49,49,49,49,49
73,ATH,88,3.6666666666666665,"Iñigo Lekue","Lekue",inigo-lekue,2,Defensa,1635454,ok,3,4,6,5,6,1,3,13,0,4,8,2,3,5,1,7,1,1,0,0,2,6,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,13,18,24,25,28,41,64,45,53,55,58,63,64,71,72,73,73,75,75,81,85,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
74,ATH,14,3.5,"Yuri Berchiche Izeta","Yuri",yuri,2,Defensa,908237,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,14,14,14,14,14,14,14,14,14,14,14,14,14,14
75,ATH,128,6.7368421052631575,"Iñigo Martínez Berridi","Iñigo Martínez",martinez-i,2,Defensa,37395100,ok,7,10,8,9,8,1,13,9,0,5,0,0,0,9,0,8,2,0,3,9,0,11,9,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,7,17,25,34,42,43,56,65,65,70,70,70,70,79,79,87,89,89,92,101,101,112,121,121,128,128,128,128,128,128,128,128,128,128,128,128,128,128
77,ATH,59,3.4705882352941178,"Yeray Álvarez López","Yeray",yeray-2,2,Defensa,1470741,ok,0,0,0,0,0,0,0,0,4,0,4,6,2,8,2,7,5,2,4,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,4,10,12,20,22,33,38,40,47,59,43,43,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
78,ATH,15,0.7142857142857143,"Unai Núñez Gestoso","Unai Nuñez",unai-nunez,2,Defensa,562970,ok,0,0,0,0,0,2,0,0,5,0,2,1,3,0,0,0,0,3,0,0,2,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,13,13,4,5,8,8,8,13,13,16,16,16,18,18,18,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
79,ATH,0,0,"Ander Capa Rodríguez","Capa",capa,2,Defensa,559127,injured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,ATH,91,3.7916666666666665,"Dani García Carrillo","Dani García",dani-garcia,3,Centrocampista,832934,ok,5,3,6,4,5,2,3,5,3,3,2,4,2,5,2,6,2,0,4,6,3,7,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,14,18,23,25,28,33,54,36,38,42,44,49,51,60,62,62,69,75,65,82,85,85,91,91,91,91,91,91,91,91,91,91,91,91,91,91
81,ATH,156,6.5,"Iker Muniain Goñi","Muniain",muniain,3,Centrocampista,40637814,ok,4,7,6,17,5,3,2,8,6,13,5,10,5,8,9,0,2,8,4,7,3,0,2,6,16,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,17,34,39,42,44,52,108,65,70,80,85,93,102,108,110,118,125,132,121,121,134,140,156,156,156,156,156,156,156,156,156,156,156,156,156,156
82,RAY,47,2.611111111111111,"Unai López","Unai López",unai-lopez,3,Centrocampista,558465,doubtful,0,0,0,2,3,3,5,1,2,3,3,4,2,3,4,5,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,8,13,14,16,19,22,26,28,31,35,40,42,44,45,45,45,46,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
86,ATH,98,4.260869565217392,"Raúl García Escudero","Raúl García",raul-garcia,3,Centrocampista,2954765,ok,0,2,3,4,6,3,5,9,5,9,2,4,3,1,9,4,1,1,0,2,2,4,7,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,9,15,18,23,32,65,41,43,47,50,51,60,69,70,71,71,75,73,79,86,94,98,98,98,98,98,98,98,98,98,98,98,98,98,98
90,ATH,18,1.6363636363636365,"Asier Villalibre Molina","Villalibre",villalibre,4,Delantero,559460,ok,2,0,2,2,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,8,10,10,10,10,12,12,12,12,13,13,13,13,13,13,13,13,13,15,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18
91,ATH,129,5.16,"Iñaki Williams Arthuer","Iñaki Williams",williams-arthuer,4,Delantero,24409476,ok,3,4,8,9,4,3,4,5,1,8,9,4,3,4,4,6,5,12,8,4,3,4,2,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,15,24,28,31,35,40,73,48,57,61,64,68,72,79,84,96,107,111,99,115,117,119,129,129,129,129,129,129,129,129,129,129,129,129,129,129
92,ATH,40,1.6,"Mikel Vesga Arruti","Vesga",vesga,3,Centrocampista,560580,ok,2,2,3,2,1,4,2,1,2,1,2,0,2,0,0,1,0,2,2,1,0,2,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,9,10,14,16,17,24,18,20,20,22,22,22,25,25,27,29,30,27,32,33,35,40,40,40,40,40,40,40,40,40,40,40,40,40,40
93,BAR,101,4.590909090909091,"Marc-André Ter Stegen","Ter Stegen",ter-stegen,1,Portero,7095509,ok,0,0,4,4,4,10,10,1,6,3,5,4,0,8,3,4,0,0,11,5,0,9,2,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,66,8,18,28,29,35,38,43,47,47,55,58,62,62,62,77,82,82,91,93,96,101,101,101,101,101,101,101,101,101,101,101,101,101,101
94,BAR,83,4.368421052631579,"Jordi Alba Ramos","Jordi Alba",jordi-alba,2,Defensa,12621501,suspended,2,1,6,3,0,0,0,0,4,0,5,6,8,6,6,3,0,0,0,5,0,7,6,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9,50,50,50,50,9,13,13,18,24,32,38,44,47,47,47,47,55,55,62,68,76,83,83,83,83,83,83,83,83,83,83,83,83,83,83
95,BAR,95,4.75,"Gerard Piqué Bernabéu","Piqué",pique,2,Defensa,13596515,ok,9,4,0,5,1,8,7,3,5,3,2,4,0,7,3,1,6,0,8,7,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,13,13,68,14,22,29,32,37,40,42,46,46,53,56,57,63,63,76,83,83,92,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95
97,BAR,34,3.4,"Sergi Roberto Carnicer","Sergi Roberto",sergi-roberto,2,Defensa,575479,injured,7,5,9,0,1,1,0,1,3,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,21,21,22,23,23,24,27,28,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34
98,BAR,2,0.1111111111111111,"Samuel Umtiti","Umtiti",samuel-umtiti,2,Defensa,558504,injured,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
99,BAR,25,1.1904761904761905,"Clement Nicolas Laurent Lenglet","Lenglet",clement-lenglet,2,Defensa,561083,doubtful,1,0,3,3,0,0,1,1,0,0,0,2,2,0,0,4,0,5,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,22,4,4,5,6,6,6,6,8,10,10,10,14,14,19,23,24,24,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25
102,SEV,100,4.3478260869565215,"Ivan Rakitić","Rakitić",rakitic,3,Centrocampista,7178657,ok,0,3,2,8,1,3,1,3,1,0,2,12,7,8,4,3,0,10,10,4,6,0,3,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,68,6,9,10,13,14,14,16,28,35,43,47,50,50,60,78,82,88,88,91,98,100,100,100,100,100,100,100,100,100,100,100,100,100,100
107,BAR,98,4.260869565217392,"Sergio Busquets Burgos","Busquets",busquets,3,Centrocampista,7877823,ok,3,3,3,5,3,4,6,3,7,4,2,4,7,6,6,6,5,4,0,3,0,6,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,9,81,12,16,22,25,32,36,38,42,49,55,61,67,72,76,76,84,84,90,92,94,98,98,98,98,98,98,98,98,98,98,98,98,98,98
109,ATM,101,4.208333333333333,"Luis Alberto Suárez Díaz","Suárez",luis-suarez,4,Delantero,16065030,ok,3,1,6,2,1,13,2,14,1,13,-1,3,10,2,4,0,1,1,3,0,1,2,10,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,10,12,13,26,28,42,76,55,54,57,67,69,73,73,74,75,79,79,92,81,91,91,101,101,101,101,101,101,101,101,101,101,101,101,101,101
112,BAR,45,5,"Ousmane Dembélé","Dembélé",ousmane-dembele,4,Delantero,10209229,ok,0,0,0,9,0,0,0,0,0,0,0,0,0,0,2,5,4,6,0,6,0,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,26,26,26,26,26,26,26,26,26,26,2,7,11,17,17,32,32,32,32,35,45,45,45,45,45,45,45,45,45,45,45,45,45,45
114,BAR,7,0.30434782608695654,"Norberto Murara Neto","Neto",neto,1,Portero,558960,ok,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
115,BET,0,0,"Joel Robles","Joel Robles",p78315-21117181602,1,Portero,558463,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,VIL,39,1.6956521739130435,"Aissa Mandi","Mandi",aissa-mandi,2,Defensa,573185,ok,6,6,0,0,0,3,0,6,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,12,34,12,15,15,21,21,21,21,21,21,21,21,21,34,34,34,34,34,34,34,34,39,39,39,39,39,39,39,39,39,39,39,39,39,39
121,BET,49,2.45,"Marc Bartra Aregall","Bartra",bartra,2,Defensa,695885,ok,0,0,0,1,0,0,0,0,6,4,0,0,0,0,4,10,8,3,-1,6,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,7,11,11,11,11,11,15,25,33,36,35,41,41,41,41,45,49,49,49,49,49,49,49,49,49,49,49,49,49,49
124,BET,66,2.75,"José Andrés Guardado Hernández","Guardado",guardado,3,Centrocampista,560863,ok,2,3,5,0,1,3,1,0,7,2,2,3,3,2,3,6,7,0,-1,2,9,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,10,10,11,14,15,15,22,24,26,29,32,34,37,43,50,50,49,51,60,62,64,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
125,BET,40,1.6666666666666667,"Cristian Tello Herrera","Tello",tello,3,Centrocampista,558925,ok,0,1,2,6,0,0,2,1,2,0,0,1,1,1,0,6,1,0,1,5,0,3,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,9,9,11,12,14,14,14,15,16,17,17,23,24,24,25,30,30,33,34,38,40,40,40,40,40,40,40,40,40,40,40,40,40,40
127,BET,101,4.04,"William Silva de Carvalho","William Carvalho",william-carvalho,3,Centrocampista,3138610,ok,0,2,0,6,4,5,7,4,7,1,6,3,2,1,1,2,2,8,5,6,2,7,0,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,12,17,24,28,35,36,42,45,47,48,49,51,53,61,66,72,74,81,81,95,101,101,101,101,101,101,101,101,101,101,101,101,101,101
128,BET,7,0.3888888888888889,"Diego Lainez","Lainez",p224389-17119183506,3,Centrocampista,559109,ok,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3,4,4,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
131,BET,132,5.739130434782608,"Sergio Canales Madrazo","Canales",canales,3,Centrocampista,39432405,ok,5,4,4,12,4,3,2,0,5,7,4,2,3,6,5,4,9,6,3,8,14,8,3,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,13,25,29,32,34,34,39,46,50,52,55,61,66,70,79,85,88,96,110,118,121,121,132,132,132,132,132,132,132,132,132,132,132,132,132,132
132,BET,22,1.1,"Joaquín Sánchez Rodríguez","Joaquín",joaquin,3,Centrocampista,559126,ok,2,2,1,2,0,2,0,0,7,0,2,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,7,7,9,9,9,16,16,18,18,20,20,20,20,20,21,21,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,22,22,22
133,ESP,32,1.28,"Lorenzo Morón García","Loren",loren,4,Delantero,558678,ok,0,1,2,0,2,0,2,0,2,0,0,2,0,1,1,2,1,7,4,0,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,5,5,7,7,9,9,9,11,11,12,13,15,16,23,27,27,28,29,31,31,32,32,32,32,32,32,32,32,32,32,32,32,32,32
135,BET,138,5.75,"Juan Miguel Jiménez López","Juanmi",juanmi,4,Delantero,39768442,suspended,1,11,3,0,2,7,6,1,0,9,13,1,2,11,20,11,9,8,5,0,10,2,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12,15,15,17,24,30,31,31,40,53,54,56,67,87,98,107,115,120,120,130,132,135,135,138,138,138,138,138,138,138,138,138,138,138,138,138,138
136,OSA,90,3.9130434782608696,"Darko Brasanac","Brasanac",darko-brasanac,3,Centrocampista,599925,ok,5,5,3,5,4,2,4,7,4,6,2,2,3,5,1,4,2,5,0,1,3,6,0,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,10,13,18,22,24,28,35,39,45,47,49,52,57,58,62,64,69,69,70,73,79,79,89,90,90,90,90,90,90,90,90,90,90,90,90,90,90
138,CEL,0,0,"Rubén Blanco Veiga","Rubén Blanco",ruben-blanco,1,Portero,558478,ok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,CEL,59,3.1052631578947367,"Hugo Mallo Novegil","Hugo Mallo",hugo-mallo,2,Defensa,595842,ok,-5,0,4,0,1,6,4,3,2,5,2,0,0,0,0,0,0,6,0,5,12,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,13,15,20,22,22,22,22,22,22,22,28,28,33,45,47,53,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
146,CEL,33,1.5,"Kevin Vázquez Comesaña","Kevin Vázquez",kevin-vazquez,2,Defensa,558499,ok,0,5,0,0,0,0,0,0,0,0,0,6,5,1,7,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,5,5,5,5,5,5,5,5,11,16,17,24,26,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33
147,CEL,80,3.3333333333333335,"Néstor Alejandro Araujo Razo","Néstor Araújo",nestor-araujo,2,Defensa,624596,ok,1,6,4,-1,0,7,7,4,0,2,1,7,2,2,4,1,5,3,0,5,7,4,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,10,10,17,24,28,28,30,31,38,40,42,46,47,52,55,55,60,67,71,72,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80
148,CEL,106,4.24,"Francisco Beltrán","Fran Beltrán",fran-1,3,Centrocampista,1646420,ok,2,2,3,0,3,6,2,4,4,8,4,6,4,6,6,-1,8,3,7,3,7,4,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,7,7,10,16,18,22,26,34,38,44,48,54,60,59,67,70,77,80,87,91,98,105,106,106,106,106,106,106,106,106,106,106,106,106,106,106
150,CEL,125,5.208333333333333,"Brais Méndez Portela","Brais Méndez",brais-mendez,3,Centrocampista,13574301,ok,2,5,3,1,1,12,4,5,2,15,2,3,0,8,2,6,6,6,6,3,5,5,19,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,10,11,12,24,28,33,35,50,52,55,55,63,65,71,77,83,89,92,97,102,121,126,125,125,125,125,125,125,125,125,125,125,125,125,125,125
159,CEL,141,5.875,"Iago Aspas Juncal","Aspas",iago-aspas,4,Delantero,52842136,ok,8,6,3,5,5,6,-1,3,3,10,2,1,12,3,8,6,0,15,14,2,10,11,5,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,17,22,27,33,32,35,38,48,50,51,63,66,74,80,80,95,109,111,121,132,137,142,141,141,141,141,141,141,141,141,141,141,141,141,141,141
160,VAL,52,2.736842105263158,"Maximiliano Gómez González","Maxi Gómez",maxi-gomez,4,Delantero,733062,ok,2,3,9,8,4,1,1,0,0,-1,0,0,0,2,3,7,2,0,2,2,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,14,22,26,27,28,28,28,27,27,27,27,29,32,39,41,41,43,45,45,45,49,50,52,52,52,52,52,52,52,52,52,52,52,52,52,52
166,ATM,76,3.3043478260869565,"Mario Hermoso Canseco","Hermoso",hermoso,2,Defensa,2272089,ok,1,0,1,2,7,6,3,6,1,2,3,8,2,5,4,0,1,1,7,2,0,7,-4,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,11,17,20,26,53,28,31,39,41,46,50,50,51,52,60,62,62,69,65,74,76,76,76,76,76,76,76,76,76,76,76,76,76,76
179,BET,85,3.4,"Borja Iglesias Quintas","Borja Iglesias",iglesias-quintas,4,Delantero,6445107,ok,3,2,1,2,2,4,4,2,6,1,14,1,0,0,0,1,0,1,2,2,16,13,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,6,8,10,14,18,20,26,27,41,42,42,42,42,43,43,44,46,48,64,77,79,81,85,85,85,85,85,85,85,85,85,85,85,85,85,85
184,GET,135,5.4,"David Soria Solís","David Soria",soria-david,1,Portero,2227076,ok,3,5,1,5,2,2,5,6,9,4,5,5,4,11,9,9,1,9,11,3,2,9,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,9,14,16,18,23,29,38,42,47,52,56,67,76,85,86,95,106,109,111,120,128,132,135,135,135,135,135,135,135,135,135,135,135,135,135,135
187,GET,93,3.875,"Damián Nicolás Suárez Suárez","Damián",damian-suarez,2,Defensa,1784178,ok,4,4,2,2,-3,0,3,2,9,-1,8,2,0,14,8,4,10,8,5,2,0,7,6,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,10,12,9,9,12,14,23,22,30,32,32,46,54,58,68,76,81,83,83,90,96,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
